CustomerID,TotalRevenueByCustomer_x,AveragePurchaseValue_x,AveragePurchaseFrequency_x,CustomerLifespanDays_x,TotalPurchases,TotalRevenueByCustomer_y,AveragePurchaseValue_y,AveragePurchaseFrequency_y,CustomerLifespanDays_y,CLTV
12347,1146.59,23.89,7,365,623,1146.59,23.89,7,365,61038.95
12348,550.92,78.7,4,283,531,550.92,78.7,4,283,89088.4
12349,406.32,25.4,1,0,203,406.32,25.4,1,0,0.0
12350,45.6,22.8,1,0,36,45.6,22.8,1,0,0.0
12352,426.3,17.05,8,260,138,426.3,17.05,8,260,35464.0
12353,11.6,11.6,1,0,8,11.6,11.6,1,0,0.0
12354,181.58,15.13,1,0,96,181.58,15.13,1,0,0.0
12355,68.7,22.9,1,0,14,68.7,22.9,1,0,0.0
12356,285.0,40.71,2,80,172,285.0,40.71,2,80,6513.6
12357,1174.51,43.5,1,0,493,1174.51,43.5,1,0,0.0
12358,403.92,67.32,2,149,112,403.92,67.32,2,149,20061.36
12359,829.83,18.44,6,324,299,829.83,18.44,6,324,35847.36
12360,576.18,19.21,3,148,254,576.18,19.21,3,148,8529.24
12361,16.5,16.5,1,0,10,16.5,16.5,1,0,0.0
12362,1036.38,19.93,11,292,385,1036.38,19.93,11,292,64015.16
12363,162.6,20.32,2,133,140,162.6,20.32,2,133,5405.12
12364,195.6,13.97,3,105,256,195.6,13.97,3,105,4400.55
12365,71.99,14.4,1,0,37,71.99,14.4,1,0,0.0
12367,33.6,16.8,1,0,24,33.6,16.8,1,0,0.0
12370,694.79,24.81,4,309,620,694.79,24.81,4,309,30665.16
12371,245.7,20.47,1,0,110,245.7,20.47,1,0,0.0
12372,380.48,29.27,3,225,216,380.48,29.27,3,225,19757.25
12373,104.5,26.12,1,0,51,104.5,26.12,1,0,0.0
12374,189.15,18.92,1,0,97,189.15,18.92,1,0,0.0
12375,131.7,26.34,2,88,51,131.7,26.34,2,88,4635.84
12377,328.32,23.45,2,39,212,328.32,23.45,2,39,1829.1
12378,858.44,22.01,1,0,500,858.44,22.01,1,0,0.0
12379,198.5,22.06,2,89,82,198.5,22.06,2,89,3926.68
12380,235.75,16.84,4,164,111,235.75,16.84,4,164,11047.04
12381,168.44,14.04,3,61,112,168.44,14.04,3,61,2569.32
12383,400.9,19.09,5,168,225,400.9,19.09,5,168,16035.6
12384,75.89,12.65,3,93,26,75.89,12.65,3,93,3529.35
12386,30.0,30.0,1,0,24,30.0,30.0,1,0,0.0
12388,595.5,24.81,6,311,322,595.5,24.81,6,311,46295.46
12390,70.5,17.62,1,0,48,70.5,17.62,1,0,0.0
12391,99.69,4.75,1,0,57,99.69,4.75,1,0,0.0
12393,381.25,21.18,3,260,219,381.25,21.18,3,260,16520.4
12394,56.3,18.77,1,0,18,56.3,18.77,1,0,0.0
12395,844.27,22.82,10,338,412,844.27,22.82,10,338,77131.6
12397,448.78,14.48,2,100,316,448.78,14.48,2,100,2896.0
12398,335.4,22.36,1,0,233,335.4,22.36,1,0,0.0
12399,140.34,15.59,3,142,132,140.34,15.59,3,142,6641.34
12401,17.85,17.85,1,0,3,17.85,17.85,1,0,0.0
12403,285.0,95.0,1,0,62,285.0,95.0,1,0,0.0
12405,472.03,29.5,1,0,209,472.03,29.5,1,0,0.0
12406,455.69,18.23,3,161,393,455.69,18.23,3,161,8805.09
12407,205.5,22.83,5,215,108,205.5,22.83,5,215,24542.25
12408,576.03,30.32,5,228,296,576.03,30.32,5,228,34564.8
12409,2235.98,97.22,3,104,994,2235.98,97.22,3,104,30332.64
12410,155.1,19.39,2,0,52,155.1,19.39,2,0,0.0
12412,302.21,21.59,3,95,185,302.21,21.59,3,95,6153.15
12413,211.85,19.26,4,271,52,211.85,19.26,4,271,20877.84
12414,195.35,39.07,3,93,33,195.35,39.07,3,93,10900.53
12415,21529.71,142.58,17,313,14068,21529.71,142.58,17,313,758668.18
12417,855.44,20.86,10,354,320,855.44,20.86,10,354,73844.4
12418,84.48,21.12,1,0,48,84.48,21.12,1,0,0.0
12420,180.04,22.5,1,0,56,180.04,22.5,1,0,0.0
12421,280.18,20.01,5,304,85,280.18,20.01,5,304,30415.2
12422,144.75,20.68,3,229,65,144.75,20.68,3,229,14207.16
12423,353.91,14.75,8,353,188,353.91,14.75,8,353,41654.0
12424,321.45,64.29,2,0,99,321.45,64.29,2,0,0.0
12425,96.36,32.12,1,0,84,96.36,32.12,1,0,0.0
12426,78.78,15.76,1,0,34,78.78,15.76,1,0,0.0
12427,165.6,41.4,3,350,32,165.6,41.4,3,350,43470.0
12428,1939.74,30.31,7,258,787,1939.74,30.31,7,258,54739.86
12429,553.1,29.11,4,356,388,553.1,29.11,4,356,41452.64
12430,64.8,32.4,1,0,20,64.8,32.4,1,0,0.0
12431,1110.43,20.19,14,313,419,1110.43,20.19,14,313,88472.58
12432,892.24,35.69,4,130,368,892.24,35.69,4,130,18558.8
12433,2679.64,34.35,6,373,2310,2679.64,34.35,6,373,76875.3
12434,91.49,18.3,2,176,37,91.49,18.3,2,176,6441.6
12435,724.4,144.88,2,188,256,724.4,144.88,2,188,54474.88
12436,52.8,13.2,1,0,96,52.8,13.2,1,0,0.0
12437,763.42,20.09,18,330,579,763.42,20.09,18,330,119334.6
12438,706.57,35.33,2,126,211,706.57,35.33,2,126,8903.16
12441,28.2,14.1,1,0,31,28.2,14.1,1,0,0.0
12442,84.72,14.12,1,0,115,84.72,14.12,1,0,0.0
12444,1006.89,26.5,5,150,241,1006.89,26.5,5,150,19875.0
12445,56.0,56.0,1,0,2,56.0,56.0,1,0,0.0
12446,230.85,15.39,1,0,72,230.85,15.39,1,0,0.0
12447,45.6,22.8,1,0,8,45.6,22.8,1,0,0.0
12448,28.93,9.64,1,0,19,28.93,9.64,1,0,0.0
12449,535.6,19.13,4,165,208,535.6,19.13,4,165,12625.8
12450,20.16,10.08,1,0,24,20.16,10.08,1,0,0.0
12451,1636.51,24.8,5,314,1235,1636.51,24.8,5,314,38936.0
12452,69.55,13.91,1,0,25,69.55,13.91,1,0,0.0
12453,219.45,16.88,1,0,172,219.45,16.88,1,0,0.0
12454,-676.1,-135.22,2,3,-86,-676.1,-135.22,2,3,-811.32
12455,592.9,24.7,6,223,490,592.9,24.7,6,223,33048.6
12456,494.06,22.46,4,210,233,494.06,22.46,4,210,18866.4
12457,236.04,21.46,3,153,92,236.04,21.46,3,153,9850.14
12458,161.46,23.07,2,213,108,161.46,23.07,2,213,9827.82
12461,52.89,13.22,1,0,39,52.89,13.22,1,0,0.0
12462,128.67,11.7,4,301,69,128.67,11.7,4,301,14086.8
12463,295.59,15.56,5,195,193,295.59,15.56,5,195,15171.0
12464,226.9,45.38,4,274,21,226.9,45.38,4,274,49736.48
12465,131.1,14.57,2,152,76,131.1,14.57,2,152,4429.28
12468,156.8,14.25,3,173,84,156.8,14.25,3,173,7395.75
12471,3523.47,34.54,28,362,1381,3523.47,34.54,28,362,350097.44
12472,1326.14,15.07,12,342,888,1326.14,15.07,12,342,61847.28
12473,625.11,14.21,5,138,486,625.11,14.21,5,138,9804.9
12474,1291.45,14.04,20,312,980,1291.45,14.04,20,312,87609.6
12475,120.4,24.08,1,0,35,120.4,24.08,1,0,0.0
12476,1232.83,30.07,12,346,505,1232.83,30.07,12,346,124850.64
12477,3337.23,48.37,7,279,929,3337.23,48.37,7,279,94466.61
12478,130.88,14.54,1,0,68,130.88,14.54,1,0,0.0
12479,110.54,13.82,1,0,84,110.54,13.82,1,0,0.0
12480,594.02,18.0,4,308,308,594.02,18.0,4,308,22176.0
12481,1058.67,27.86,10,343,530,1058.67,27.86,10,343,95559.8
12483,597.95,39.86,7,322,185,597.95,39.86,7,322,89844.44
12484,877.2,13.92,5,301,458,877.2,13.92,5,301,20949.6
12488,210.78,21.08,3,66,102,210.78,21.08,3,66,4173.84
12489,15.9,15.9,1,0,2,15.9,15.9,1,0,0.0
12490,1254.54,20.91,10,324,718,1254.54,20.91,10,324,67748.4
12491,74.5,14.9,1,0,30,74.5,14.9,1,0,0.0
12492,79.24,13.21,2,42,52,79.24,13.21,2,42,1109.64
12493,88.3,17.66,2,32,41,88.3,17.66,2,32,1130.24
12494,134.09,10.31,7,343,112,134.09,10.31,7,343,24754.31
12497,292.5,97.5,1,0,317,292.5,97.5,1,0,0.0
12498,68.85,17.21,2,36,16,68.85,17.21,2,36,1239.12
12500,745.23,53.23,9,310,585,745.23,53.23,9,310,148511.7
12501,532.72,16.65,2,21,252,532.72,16.65,2,21,699.3
12502,791.55,26.38,5,214,202,791.55,26.38,5,214,28226.6
12504,2.8,1.4,2,3,0,2.8,1.4,2,3,8.4
12506,28.35,3.15,1,0,9,28.35,3.15,1,0,0.0
12507,225.28,112.64,1,0,256,225.28,112.64,1,0,0.0
12508,62.27,6.23,2,3,38,62.27,6.23,2,3,37.38
12509,67.5,33.75,1,0,11,67.5,33.75,1,0,0.0
12510,315.8,28.71,2,183,108,315.8,28.71,2,183,10507.86
12512,21.6,3.6,1,0,18,21.6,3.6,1,0,0.0
12513,108.0,13.5,2,28,72,108.0,13.5,2,28,756.0
12514,265.28,17.69,1,0,144,265.28,17.69,1,0,0.0
12515,76.05,19.01,1,0,27,76.05,19.01,1,0,0.0
12516,424.18,47.13,2,103,376,424.18,47.13,2,103,9708.78
12517,595.24,8.75,5,162,375,595.24,8.75,5,162,7087.5
12518,370.76,15.45,5,110,220,370.76,15.45,5,110,8497.5
12519,45.5,11.38,1,0,34,45.5,11.38,1,0,0.0
12520,673.33,16.03,5,194,425,673.33,16.03,5,194,15549.1
12521,135.3,16.91,1,0,66,135.3,16.91,1,0,0.0
12522,17.7,17.7,1,0,6,17.7,17.7,1,0,0.0
12523,281.61,15.65,9,290,195,281.61,15.65,9,290,40846.5
12524,1141.65,31.71,7,270,1360,1141.65,31.71,7,270,59931.9
12526,168.45,16.84,3,94,91,168.45,16.84,3,94,4748.88
12527,83.34,27.78,3,244,31,83.34,27.78,3,244,20334.96
12528,269.65,20.74,5,249,73,269.65,20.74,5,249,25821.3
12530,339.29,19.96,5,277,249,339.29,19.96,5,277,27644.6
12531,31.4,10.47,1,0,11,31.4,10.47,1,0,0.0
12532,110.88,36.96,1,0,26,110.88,36.96,1,0,0.0
12534,274.5,21.12,1,0,155,274.5,21.12,1,0,0.0
12535,111.75,22.35,2,95,25,111.75,22.35,2,95,4246.5
12536,707.37,14.44,2,52,501,707.37,14.44,2,52,1501.76
12538,55.65,18.55,1,0,11,55.65,18.55,1,0,0.0
12539,1027.63,20.97,4,311,325,1027.63,20.97,4,311,26086.68
12540,2712.07,26.59,17,342,1362,2712.07,26.59,17,342,154594.26
12541,299.57,19.97,3,251,156,299.57,19.97,3,251,15037.41
12544,36.42,9.1,2,7,22,36.42,9.1,2,7,127.4
12545,204.25,22.69,2,184,70,204.25,22.69,2,184,8349.92
12546,122.8,11.16,3,31,66,122.8,11.16,3,31,1037.88
12547,48.4,24.2,2,83,25,48.4,24.2,2,83,4017.2
12548,17.4,17.4,1,0,12,17.4,17.4,1,0,0.0
12550,217.68,14.51,1,0,159,217.68,14.51,1,0,0.0
12551,12.5,12.5,1,0,10,12.5,12.5,1,0,0.0
12552,71.47,14.29,1,0,17,71.47,14.29,1,0,0.0
12553,673.61,18.21,10,321,348,673.61,18.21,10,321,58454.1
12556,110.41,5.02,2,101,60,110.41,5.02,2,101,1014.04
12557,1446.68,361.67,2,174,524,1446.68,361.67,2,174,125861.16
12558,0.0,0.0,2,6,0,0.0,0.0,2,6,0.0
12559,55.6,11.12,2,9,47,55.6,11.12,2,9,200.16
12560,299.54,18.72,2,138,172,299.54,18.72,2,138,5166.72
12561,64.65,16.16,1,0,42,64.65,16.16,1,0,0.0
12562,870.93,22.33,7,190,390,870.93,22.33,7,190,29698.9
12564,39.6,19.8,1,0,8,39.6,19.8,1,0,0.0
12565,16.03,5.34,2,7,9,16.03,5.34,2,7,74.76
12567,1754.1,18.27,11,347,761,1754.1,18.27,11,347,69736.59
12569,813.05,20.33,21,250,420,813.05,20.33,21,250,106732.5
12571,82.7,13.78,2,82,106,82.7,13.78,2,82,2259.92
12572,151.5,15.15,2,43,42,151.5,15.15,2,43,1302.9
12573,40.7,10.17,1,0,15,40.7,10.17,1,0,0.0
12574,15.0,15.0,1,0,12,15.0,15.0,1,0,0.0
12576,218.26,14.55,5,269,170,218.26,14.55,5,269,19569.75
12577,137.92,4.45,3,324,107,137.92,4.45,3,324,4325.4
12578,420.68,18.29,3,309,244,420.68,18.29,3,309,16954.83
12579,125.65,13.96,1,0,105,125.65,13.96,1,0,0.0
12580,89.8,14.97,1,0,56,89.8,14.97,1,0,0.0
12581,9.96,9.96,1,0,12,9.96,9.96,1,0,0.0
12582,111.06,15.87,2,50,66,111.06,15.87,2,50,1587.0
12583,1489.93,26.61,17,371,1026,1489.93,26.61,17,371,167829.27
12584,386.5,16.1,12,277,66,386.5,16.1,12,277,53516.4
12585,284.11,17.76,3,117,171,284.11,17.76,3,117,6233.76
12586,48.05,24.02,1,0,11,48.05,24.02,1,0,0.0
12587,20.8,20.8,1,0,10,20.8,20.8,1,0,0.0
12588,17.0,17.0,1,0,2,17.0,17.0,1,0,0.0
12589,153.42,19.18,2,116,75,153.42,19.18,2,116,4449.76
12590,1816.6,181.66,1,0,696,1816.6,181.66,1,0,0.0
12591,188.0,26.86,1,0,59,188.0,26.86,1,0,0.0
12592,66.0,33.0,1,0,40,66.0,33.0,1,0,0.0
12593,122.4,24.48,2,89,50,122.4,24.48,2,89,4357.44
12594,963.19,29.19,7,276,570,963.19,29.19,7,276,56395.08
12596,52.74,17.58,1,0,66,52.74,17.58,1,0,0.0
12597,620.06,13.78,5,249,470,620.06,13.78,5,249,17156.1
12598,680.5,21.95,7,275,425,680.5,21.95,7,275,42253.75
12599,179.88,19.99,3,275,158,179.88,19.99,3,275,16491.75
12600,300.44,23.11,6,273,130,300.44,23.11,6,273,37854.18
12601,78.15,15.63,4,143,37,78.15,15.63,4,143,8940.36
12603,126.0,126.0,1,0,7,126.0,126.0,1,0,0.0
12604,54.6,13.65,2,182,62,54.6,13.65,2,182,4968.6
12607,-86.73,-1.77,2,2,-23,-86.73,-1.77,2,2,-7.08
12609,174.18,17.42,3,240,116,174.18,17.42,3,240,12542.4
12610,384.15,24.01,5,104,119,384.15,24.01,5,104,12485.2
12611,258.75,17.25,1,0,141,258.75,17.25,1,0,0.0
12612,228.75,45.75,1,0,47,228.75,45.75,1,0,0.0
12613,615.41,19.23,5,231,280,615.41,19.23,5,231,22210.65
12614,54.15,18.05,1,0,17,54.15,18.05,1,0,0.0
12615,334.57,22.3,4,166,152,334.57,22.3,4,166,14807.2
12616,201.1,33.52,2,202,44,201.1,33.52,2,202,13542.08
12617,23.71,3.39,1,0,20,23.71,3.39,1,0,0.0
12618,50.5,25.25,1,0,26,50.5,25.25,1,0,0.0
12619,445.72,29.71,8,237,319,445.72,29.71,8,237,56330.16
12620,316.33,13.75,3,190,294,316.33,13.75,3,190,7837.5
12621,2560.04,25.1,21,364,1445,2560.04,25.1,21,364,191864.4
12622,45.3,15.1,1,0,10,45.3,15.1,1,0,0.0
12623,46.5,23.25,1,0,27,46.5,23.25,1,0,0.0
12624,147.8,18.47,2,71,62,147.8,18.47,2,71,2622.74
12625,857.12,35.71,2,108,441,857.12,35.71,2,108,7713.36
12626,1325.66,21.73,10,303,763,1325.66,21.73,10,303,65841.9
